Category ID,Category,Type,Type Comments
-2001330,Structural Columns,300 x 300mm,
-2001330,Structural Columns,300 x 450mm,
-2001330,Structural Columns,300mm,
-2001330,Structural Columns,450 x 450mm,
-2001330,Structural Columns,450 x 600mm,
-2001330,Structural Columns,450mm,
-2001330,Structural Columns,600 x 600mm,
-2001330,Structural Columns,600 x 750mm,
-2001330,Structural Columns,600mm,
-2001330,Structural Columns,750 x 750mm,
-2001330,Structural Columns,750mm,
-2001330,Structural Columns,L20x20x3,
-2001330,Structural Columns,L50x50x5,
-2001330,Structural Columns,L70x70x6,
-2001330,Structural Columns,L80x80x8,
-2001330,Structural Columns,M_300 x 450,
-2001330,Structural Columns,M_300mm,
-2001330,Structural Columns,M_450 x 600,
-2001330,Structural Columns,M_450mm,
-2001330,Structural Columns,M_600 x 750,
-2001330,Structural Columns,M_600mm,
-2001330,Structural Columns,M_750mm,
-2001330,Structural Columns,SRC152x152x23,
-2001330,Structural Columns,SRC152x152x30,
-2001330,Structural Columns,SRC152x152x37,
-2001330,Structural Columns,SRC203x203x46,
-2001330,Structural Columns,SRC203x203x52,
-2001330,Structural Columns,SRC203x203x60,
-2001330,Structural Columns,SRC203x203x71,
-2001330,Structural Columns,SRC203x203x86,
-2001330,Structural Columns,SRC254x254x107,
-2001330,Structural Columns,SRC254x254x132,
-2001330,Structural Columns,SRC254x254x167,
-2001330,Structural Columns,SRC254x254x73,
-2001330,Structural Columns,SRC254x254x89,
-2001330,Structural Columns,SRC305x305x118,
-2001330,Structural Columns,SRC305x305x137,
-2001330,Structural Columns,SRC305x305x158,
-2001330,Structural Columns,SRC305x305x198,
-2001330,Structural Columns,SRC305x305x240,
-2001330,Structural Columns,SRC305x305x283,
-2001330,Structural Columns,SRC305x305x97,
-2001330,Structural Columns,SRC356x368x129,
-2001330,Structural Columns,SRC356x368x153,
-2001330,Structural Columns,SRC356x368x177,
-2001330,Structural Columns,SRC356x368x202,
-2001330,Structural Columns,SRC356x406x235,
-2001330,Structural Columns,SRC356x406x287,
-2001330,Structural Columns,SRC356x406x340,
-2001330,Structural Columns,SRC356x406x393,
-2001330,Structural Columns,SRC356x406x467,
-2001330,Structural Columns,SRC356x406x551,
-2001330,Structural Columns,SRC356x406x634,
-2001330,Structural Columns,UC152x152x23,
-2001320,Structural Framing,114x114,
-2001320,Structural Framing,300mm x 150mm,
-2001320,Structural Framing,356x406x287UC,
-2001320,Structural Framing,356x406x340UC,
