Category,Type,Type Comments
Doors,800 mm x 2000 mm,
Doors,Complex door family,
Doors,Door - 825 x 1960 x 44mm Thick Mukwa Door,
Doors,Double Reabat door frame,
Doors,Three lever mortice door lockset,
Plumbing Fixtures,125 mm Strainer - 50 mm Drain,
Plumbing Fixtures,610 mm,
Plumbing Fixtures,Private - 6.1 Lpf,
Railings,1100mm,
Roofs,IBR_0.4mm thick,
Roofs,Ridge cap,
Structural Columns,150 x 150mm,
Structural Columns,300 x 300mm,
Structural Columns,RHS100x50x3.2,
Structural Foundations,Bearing Footing - 600 mm x 150 mm,
Structural Foundations,C25 Concrete,
Structural Foundations,Foundation walls_150mm,
Structural Foundations,Pad footing 1000x1000x200mm thick,
Structural Framing,200mm x 150mm,
Structural Framing,RHS100x50x3.2,
Structural Framing,Sawn Timber 50x50mm,TEST RUN
Walls,Generic - 150mm,
Windows,2400 mm x 1200 mm,"Aluminium framed window, powder-coated finish, glazed and installed complete to BS EN 14351-1 and BS 8213-4, including ironmongery, sealing, fixings, and making good."
Windows,500x600,
Windows,600 x 600,Included in BOQ
