Item,,UnitCost
Air Conditioner 9000 BTU Wall Mount Split type,Each,12545
Air Conditioner 12000 BTU Wall Mount Split type,Each,14258
Air Conditioner 18000 BTU Wall Mount Split type,Each,19828
Air Conditioner 24000 BTU Wall Mount Split type,Each,23492
Air Conditioner 30000 BTU Wall Mount Split type,Each,20497
Air Conditioner 36000 BTU Wall Mount Split type,Each,41020
Air Conditioner 48000 BTU Wall Mount Split type,Each,62945
Air Conditioner 18000 BTU Ceiling Cassete,Each,29269
Air Conditioner 24000 BTU Ceiling Cassete,Each,29325
Air Conditioner 36000 BTU Ceiling Cassete,Each,35823
Angle Grinder - 900 Watts,Each,1606
Angle Grinder - 1400 Watts,Each,2226
Angle Grinder - 2000 Watts,Each,4057
Angle Grinder - 3000 Watts,Each,4483
Bulb - Energy Saving - (8 Watts),Each,39
Bulb - Energy Saving - (11 Watts),Each,46
Bulb - Energy Saving - (14 Watts),Each,47
Bulb - Energy Saving - (15 Watts),Each,60
Bulb - Energy Saving - (18 Watts),Each,64
Cable - 0.75mm twin flex cable,Metre,12
Cable - 1.5mm single cable -100m,Each,923
Cable - 2.5mm single cable -100m,Each,1327
Cable - 1.5mm 2 core cable,Metre,26
Cable - 2.5mm 2 core cable,Metre,46
Cable - 1.5mm 3 core cable,Metre,44
Cable - 2.5mm 3 core cable,Metre,59
Cable - 2.5mm 4 core cable,Metre,76
Cable - 10mm multi strand cable,Metre,59
Cable - 16mm multi-strand cable,Metre,82
Cable - 4mm multi-strand cable,Metre,30
Cable - 6mm multi-strand cable,Metre,41
Cable -Armored 1.5mm x 3 core,Metre,132
Cable -Armored 1.5mm x 4 core,Metre,105
Cable -Armored 10mm x 2 core,Metre,271
Cable -Armored 10mm x 3 core,Metre,314
Cable -Armored 10mm x 4 core,Metre,387
Cable -Armored 16mm x 2 core,Metre,395
Cable -Armored 16mm x 3 core,Metre,485
Cable -Armored 16mm x 4 core,Metre,536
Cable -Armored 2.5mm x 2 core,Metre,228
Cable -Armored 2.5mm x 3 core,Metre,83
Cable -Armored 2.5mm x 4 core,Metre,133
Cable -Armored 25mm x 4 core,Metre,639
Cable -Armored 35mm x 4 core,Metre,875
Cable -Armored 4mm x 2 core,Metre,148
Cable -Armored 4mm x 3 core,Metre,201
Cable -Armored 4mm x 4 core,Metre,298
Cable -Armored 6mm x 3 core,Metre,222
Cable -Armored 6mm x 4 core,Metre,276
Cable Female to Male XLR 5Metres,Each,294
Cable Female to Female XLR 5Metres,Each,298
Cable Male to Male XLR 5Metres,Each,230
Cable Male to Female XLR 5Metres,Each,213
Cable tie - Nylon 5 x 300mm (Packet of 100Pcs),Each,86
Cable-Asbestos - 0.75mm,Metre,50
Cable-Asbestos - 0.1mm,Metre,41
Cable-Asbestos - 1.5mm,Metre,28
Cable-Asbestos - 2mm,Metre,24
Cooker - 2 Solid Plate Electric Cooker (Without Oven &,Each,665
Grill),,
Cooker - 2 Spiral Plate Electric Cooker (Without Oven &,Each,542
Grill),,
Cooker - Gas Stove - 2 plates,Each,1187
Cooker - Electric 4 plates (Solid),Each,12130
Cooker - Electric 4 plates (Spiral),Each,11231
Cooker - Gas Stove 4 plates,Each,10680
Cooker control unit - 3 x 6,Each,310
Cooker control unit - 6 x 6,Each,623
Distribution box 4 way - GI (Local),Each,189
Distribution box 6 way - GI (Local),Each,76
Distribution box 8 way - GI (Local),Each,96
Distribution box 10 way - GI (Local),Each,89
Distribution box 12 way - GI (Local),Each,106
Distribution box 16 way - GI (Local),Each,241
Drilling Machine 450w,Each,923
Drilling Machine 650w,Each,1247
Drilling Machine 750w,Each,1642
Drilling Machine 800w,Each,1617
Drilling Machine 850w,Each,2109
Extension cable (3 way) 3 Metres,Each,96
Extension cable (4 way) 3 Metres,Each,142
Extension cable (5 way) 3 Metres,Each,152
Extension cable (6 way) 3 Metres,Each,156
Extension cable (3 way) 5 Metres,Each,149
Extension cable (4 way) 5 Metres,Each,168
Extension cable (5 way) 5 Metres,Each,220
Extension cable (6 way) 5 Metres,Each,175
Extractor Fan - PVC - 6 Inch (152mm),Each,724
Extractor Fan - PVC - 8 inches (203mm),Each,956
Extractor Fan - PVC - 10 inches (254mm),Each,953
Extractor Fan - PVC - 12 inches (305mm),Each,1360
Extractor Fan - PVC - 14 inches (356mm),Each,1579
Extractor Fan - Metal - 10 inches (254mm),Each,1343
Extractor Fan - Metal - 12 inches (305mm),Each,1349
Extractor Fan - Metal - 14 inches (356mm),Each,1700
Extractor Fan - Metal - 16 inches (406mm),Each,1901
Flood lights LED - 100 Watts,Each,724
Flood lights LED - 150 Watts,Each,866
Flood lights LED - 200 Watts,Each,1009
Flood lights LED - 300 Watts,Each,1508
Fluorescent Double Fitting - 2 ft (610mm),Each,256
Fluorescent Single Fitting - 2 ft (610mm),Each,278
Fluorescent Double Fitting - 4 ft (1219mm),Each,525
Fluorescent Single Fitting - 4 ft (1219mm),Each,359
Fluorescent Double LED Fitting - 2 ft (610mm),Each,207
Fluorescent Single LED Fitting - 2 ft (610mm),Each,232
Fluorescent Double LED Fitting - 4 ft (1219mm),Each,416
Fluorescent Single LED Fitting - 4 ft (1219mm),Each,282
Fluorescent LED tube - 2 ft (610mm),Each,57
Fluorescent LED tube - 4 ft (1219mm),Each,78
Fluorescent Ordinary tube - 2 ft (610mm),Each,41
Fluorescent Ordinary tube - 4 ft (1219mm),Each,55
Fluorescent Starter,Each,19
Fridge - Deep Freezer 195L,Each,10274
Fridge - Deep Freezer 210L,Each,9225
Fridge - Upright 157L,Each,9679
Fridge - Upright 310L,Each,13511
Generator - Diesel - 3KVA (3000w),Each,29242
Generator - Diesel - 6.5KVA (6500w),Each,40520
Generator - Diesel - 7.5KVA (7500w),Each,49407
Generator - Diesel 3 Phase - 11KVA (11000w),Each,76711
Generator - Petrol - 1KVA (1000w),Each,7916
Generator - Petrol single phase - 4 Stroke - 5.5KVA,Each,21659
Heater - Halogen heater (2 bar),Each,701
Heater - Radiant heater (2 bar),Each,1066
Insulation Tape - 18mm x 9.15m,Each,14
Insulating Tape - 18mm x 20m,Each,25
Lightning arrestor,Each,104
Looping box - PVC 2 way,Each,6
Looping box - PVC 3 way,Each,5
Looping box - PVC 4 way,Each,3
Looping box cover - PVC,Each,2
Main Circuit Breaker (MCB) 5 Amp,Each,59
Main Circuit Breaker (MCB) 10 Amp,Each,67
Main Circuit Breaker (MCB) 20 Amp,Each,70
Main Circuit Breaker (MCB) 25 Amp,Each,74
Main Circuit Breaker (MCB) 30 Amp,Each,71
Main Circuit Breaker (MCB) 60 Amp,Each,93
Main Circuit Breaker (MCB) 80 Amp,Each,109
Main Circuit Breaker (MCB) 100 Amp,Each,135
Main Circuit Breaker (MCB) 150 Amp,Each,228
Main Circuit Breaker (MCB) 200 Amp,Each,248
Metre box,Each,95
Microwave 18 ltrs,Each,2805
Microwave 20 ltrs,Each,3159
Microwave 30 ltrs,Each,4365
Microwave 18 ltrs - Digital,Each,2522
Microwave 20 ltrs - Digital,Each,3534
Microwave 30 ltrs - Digital,Each,5391
Neutral bar,Each,44
Photo Cell 10A AC 105-135V,Each,285
Pressing Iron - Dry Iron,Each,641
Pressing Iron - Steam Iron,Each,820
Sanding machine 200w,Each,1165
Sanding machine 300w,Each,1334
Sanding machine 400w,Each,#NUM!
Screws - Self-taping (1/2) inch - 1kg,Each,134
Screws - Self-taping (3/4) inch - 1kg,Each,130
Screws - Self-taping (1) inch - 1kg,Each,140
Screws - Self-taping (1.5) inch - 1kg,Each,168
Socket - Single outlet - PVC,Each,70
Socket - Double outlet - PVC,Each,127
Socket - Single outlet - GI,Each,108
Socket - Double outlet - GI,Each,206
Solar Charge Controller 24V/20A 150w,Each,479
Battery - Solar gel Battery - 12V 100AH,Each,4597
Battery - Solar gel Battery - 12V 150AH,Each,6575
Battery - Solar gel Battery - 12V 200AH,Each,10337
Battery - Solar Lithium ion Battery 24V/150AH,Each,21142
Battery - Solar Lithium ion Battery 24V/200AH,Each,30116
Solar Panel -Mono Crystalline 245w,Each,2608
Street Light - Solar - 100w,Each,2124
Street Light - Electric - 150 watts,Each,1532
Switch - 1 gang - PVC,Each,51
Switch - 2 gang -PVC,Each,65
Switch - 3 gang - PVC,Each,83
Switch - 4 gang -PVC,Each,96
Switch - 1 gang - GI,Each,72
Switch - 2 gang - GI,Each,96
Switch - 3 gang - GI,Each,140
Switch - 4 gang - GI,Each,213
Washing machine Front Loader - 6kg,Each,14496
Washing machine Front Loader - 8kg,Each,13642
Washing machine Front Loader - 9kg,Each,16851
Washing machine Front Loader - 12kg,Each,17266
Washing machine Top Loader - 8kg,Each,10755
Washing machine Top Loader - 9kg,Each,9079
Washing machine Top Loader - 12kg,Each,11687
Washing machine Top Loader -13kg,Each,13704
Water Dispenser - 2 Outlets (Hot & Cold),Each,3125
Water Dispenser - 3 Outlets (Hot Cold & RoomTempreture),Each,4535
Welding rods 2.5mm (1kg),Each,70
Welding rods 5mm (1kg),Each,106
Welding Shields,Each,150
Welding machine 150A,Each,5087
Welding machine 200A,Each,6323
Welding machine 500A,Each,10588
Microphone - Hand held wireless microphone,Each,1631
Microphone - Hand held microphone,Each,1645
Hand dryer - PVC,Each,1354
Hand dryer - Stainless,Each,2655
Battery - Solar Lithium ion Battery 12V/100AH,Each,9849
Battery - Solar Lithium ion Battery 12V/200AH,Each,10160
Battery - Solar Lithium ion Battery 5.3KW/H48V/100AH,Each,28750
Invetor-Hybrid 1.5KVA,Each,2300
Invetor-Hybrid 2.5KVA,Each,5695
Invetor-Hybrid 3.0 KVA,Each,9063
Invetor-Hybrid 5.0KVA,Each,16653
Invetor-Hybrid 8.0KVA,Each,23504
Solar Panel -Mono Cystalline 35w,Each,713
Solar Panel -Mono Cystalline 50w,Each,965
Solar Panel -Mono Cystalline 100w,Each,1635
Solar Panel -Mono Cystalline 350w,Each,3945
Solar Panel -Mono Cystalline 415w,Each,3638
Solar Panel -Mono Cystalline 550w,Each,3484
