Type,Component,Labour/Transport/Wastage/Profit,Labour/Transport/Plant_Fixed,Time/Distance,Rate,Quantity,BOQ UoM,Comment,,,,,,,
Strip footing 600x200mm thick,Cement 42.5-50Kg,,,,,7,m3,,,,,,,,
Strip footing 600x200mm thick,Building Sand,,,,,0.7,,,,,,,,,
Strip footing 600x200mm thick,Quarry Dust (A),,,,,1.4,,,,,,,,,
Strip footing 600x200mm thick,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Strip footing 600x200mm thick,Labour Skilled ,,100,,,,,,,,,,,,
Strip footing 600x200mm thick,Labour Unskilled,,200,,,,,,Labour for ...,,,,,,
Strip footing 600x200mm thick,Labour  Hours,,,1,200,,,,,,,,,,
Strip footing 600x200mm thick,Transport ,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Strip footing 600x200mm thick,Transport Fixed,,100,,,,,,,,,,,,
Strip footing 600x200mm thick,Transport  Kilometres,,,1,100,,,,,,,,,,
Strip footing 600x200mm thick,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Strip footing 600x200mm thick,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Strip footing 600x200mm thick,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Strip footing 450x150mm thick,Cement 42.5-50Kg,,,,,7,,,,,,,,,
Strip footing 450x150mm thick,Building Sand,,,,,0.7,,,,,,,,,
Strip footing 450x150mm thick,Quarry Dust (A),,,,,1.4,,,,,,,,,
Strip footing 450x150mm thick,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Strip footing 450x150mm thick,Labour Skilled ,,100,,,,,,,,,,,,
Strip footing 450x150mm thick,Labour Unskilled,,200,,,,,,Labour for ...,,,,,,
Strip footing 450x150mm thick,Labour  Hours,,,1,200,,,,,,,,,,
Strip footing 450x150mm thick,Transport ,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Strip footing 450x150mm thick,Transport Fixed,,100,,,,,,,,,,,,
Strip footing 450x150mm thick,Transport  Kilometres,,,1,100,,,,,,,,,,
Strip footing 450x150mm thick,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Strip footing 450x150mm thick,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Strip footing 450x150mm thick,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pad footing 1200x1200x300mm thick,Cement 42.5-50Kg,,,,,7,,Grade C25 or mix ratio 1:2:4,,,,,,,
Pad footing 1200x1200x300mm thick,Quarry Dust (A),,,,,0.7,,6mm quarry dust ,,,,,,,
Pad footing 1200x1200x300mm thick,Crushed Stones - 20mm,,,,,1.4,,,,,,,,,
