Item,,UnitCost
Product Description,UoM,
Adaptor 25mm(1 Inch ) - UPVC,Each,46
Adaptors 32mm ( 1 ¼ Inch) UPVC,Each,52
Air vents - Concrete made,pair,28
Air vents - PVC made,pair,18
Anti-termite 1 Liter,Each,94
Bathtub - Stainless steel,Each,3083
Bathtub -Fiber make,Each,2327
Bend - 32mm (1 ¼ Inch) Diameter PVC plain,Each,24
Black soil,Ton,320
Blockboard - 18mm thick for shelvings and pelmet - 1220 x 2440 mm,Each,1281
Bolts - M12x 50 bolts complete with nut and two(2No.) washers,Each,31
Bolts - M16 anchor bolts,Each,53
Bolts - M16 x 55 bolts complete with nut and two (2No.) washers,Each,56
Bolts & Nuts M16,Each,39
Bolts and Nuts 35X 8mm,Each,42
Brick -Burnt Clay Brick,Each,4
Brick force Wire 4 inch (100mm),Roll,37
Brick force Wire 6 inch (150mm),Roll,45
Brick force Wire 8 inch (200mm),Roll,53
Brick-Factory Made Brick,Each,13
Building Sand,Ton,359
Ceiling - 6mm Fiber cement pre- painted inlay panels 1200 x 600mm,Each,197
Ceiling - PVC Ceiling,m2,164
Cement 32.5-50Kg,Each,195
Cement 42.5-50Kg,Each,208
Chalk board 4800 x 1200mm,Each,1977
Claw hammer,Each,148
Clear varnish - 1 Litres,Each,151
Clear varnish - 2.5 Litres,Each,312
Clear varnish - 5 Litres,Each,583
Concrete brick,Each,17
Concrete Hollow Block - 6 Inch (150mm) Thick,Each,13
Concrete Hollow Block - 8 Inch (200mm) thick,Each,15
Concrete Hollow Block- 4 Inch (100mm) Thick,Each,11
Concrete Pavers,M2,168
Conduit pipes - 4m x 20mm x 25 pcs PVC (Light Duty),Bunch,609
Conduitpipes - 4m x 25mm x 25 pcs PVC (Heavy Duty),Bunch,1558
Conforce wire - 257 3.2mm x 48 meters length(Heavy Duty),Each,3741
Conforce wire - 257-4mm x 48 meters length(Heavy Duty),Each,4812
Conforce wire - 86 x 40 meters length(Light Duty),Each,1432
Conforce wire - 86 x 50 meters length(Light Duty),Each,1645
Crip saddle - GI,Each,3
Crip saddle - PVC,Each,2
Crushed Stones - 10mm,Ton,379
Crushed Stones - 20mm,Ton,379
Crushed Stones - 5mm,Ton,355
Curtain Single Track - 2m,Each,279
Curtain Steel Rod - 2.5m,Each,309
Curtain Steel Rod - 3m,Each,437
Damp Proof Course (DPC),Roll,90
Damp Proof Course (DPC),Roll,92
Damp Proof Membrane (DPM) - Black plastic,Roll,1098
Diamond Cutting Disc - 12 inch,Each,224
Diamond Cutting Disc - 3 inch,Each,105
Diamond Cutting Disc - 6 inch,Each,138
Diamond Cutting Disc - 9 inch,Each,203
Diamond mesh wire 1.2m x 30m x 2mm,Each,2455
Door - 525 x 1960 x 44mm Mukwa Door,Each,1869
Door - 525 x 1960 x 44mm semi solid Core Flush Door,Each,946
Door - 525 x 1960 x 44mm thick Flush Door,Each,653
Door - 625 x 1960 x 44mm Mukwa Door,Each,2393
Door - 625 x 1960 x 44mm Semi Solid Core Flush Door,Each,1046
Door - 625 x 1960 x 44mm Thick Flush Door,Each,607
Door - 725 x 1960 x 44 mm semi solid Core Flush Door,Each,814
Door - 725 x 1960 x 44 mm Thick Flush Door,Each,634
Door - 725 x 1960 x 44mm Thick Mukwa Door,Each,2331
Door - 825 x 1960 x 44 mm Semi Solid Core Flush Door,Each,1109
Door - 825 x 1960 x 44 mm Thick Flush Door,Each,749
Door - 825 x 1960 x 44 mm Thick Rosewood veneered H/C Door,Each,3329
Door - 825 x 1960 x 44mm Thick Mukwa Door,Each,2588
Door rubber stopper,Each,56
Earth Copper wire,m,66
Elbow - 13mm (½ inc) -GI,Each,17
Elbow - 13mm (½ inch) Diameter-PVC,Each,11
Elbow - 19 mm (¼ inch) Diameter - PVC,Each,14
Elbow - 19mm (¾ inch) - GI,Each,25
Elbow - 25mm (1 inch)-GI,Each,31
Elbow - 25mm (1 inch)-PVC,Each,26
Equal Angles 25 x 25 x 3mm angle iron x 6 metres,Each,198
Equal Angles 30 x 30 x 3mm angle iron x 6 metres,Each,226
Equal Angles 40 x 40 x 5mm angle iron x 6 metres,Each,397
Equal Angles 50 x 50 x 5mm angle iron x 6 metres,Each,700
Equal Angles 60 x 60 x 5mm angle iron x 6 metres,Each,871
Equal Angles 70 x 70 x 8mm angle iron x 6 metres,Each,1160
Equal Angles 80 x 80 x 8mm angle iron x 6 metres,Each,1556
Equal Angles 90 x 90 x 8mm angle iron x 6 metres,Each,1896
Female adaptor - 13mm (½ inch) - GI,Each,19
Female adaptor - 13mm (½ inch) - PVC,Each,15
Female adaptor -19mm (¼ inch) - GI,Each,26
Female adaptor -19mm (¼ inch) - PVC,Each,23
Flat sheets 2450 x1225 x 0.5mm,Each,626
Flat sheets 2450 x1225 x 0.6mm,Each,670
Flat sheets 2450 x1225 x 0.7mm,Each,814
Flat sheets 2450 x1225 x 1.0mm,Each,1121
Flexible Copper Connector - 13mm (½ Inch) Diameter,Each,62
Flexible PVC Connector - 13mm (½ inch) Diameter,Each,49
Gate valve - 13mm (½ inch) - Brass,Each,108
Gate valve - 13mm (½ inch) - PVC,Each,68
Gate valve - 19mm (¾ inch) - PVC,Each,82
Gate valve - 19mm (¾ inch) -Brass,Each,166
Gate valve - 25mm (1 inch) - Brass,Each,192
Gate valve - 25mm (1 inch) - PVC,Each,124
